nProc,createMesh,createExporters,init,solve,exportResults,algebraic-assembly,algebraic-solve,heat.ksp-niter,electric.ksp-niter
16,2.3728302000e+01,1.7034010000e-02,6.2636398700e+01,2.1547218200e+01,2.9203061500e+01,1.1367113680e+01,1.0073588880e+01,40,20
32,1.3293367300e+01,1.1205420000e-03,3.1834099100e+01,9.7530698100e+00,1.6075089900e+01,6.6176559900e+00,3.0888409900e+00,39,22
64,7.3622678400e+00,1.3734230000e-03,1.7945598800e+01,5.7233874300e+00,8.6970483400e+00,3.6214691510e+00,2.0727737500e+00,41,20
128,5.7261796900e+00,1.6420810000e-03,1.3183568600e+01,4.3502196900e+00,5.4145803100e+00,2.7453495020e+00,1.5871246380e+00,40,20
256,3.0576672600e+00,4.1978340000e-03,8.8526158600e+00,4.0333140300e+00,4.1646587600e+00,1.6646723300e+00,2.3548291500e+00,38,21
384,2.5559617100e+00,1.6911228000e-02,7.6901085000e+00,5.1166267400e+00,3.5430812400e+00,1.3701739410e+00,3.7364459500e+00,35,19
512,2.1886948800e+00,1.6403512000e-02,7.3290956500e+00,7.1364235100e+00,3.2503395400e+00,1.2450340920e+00,5.8721426500e+00,43,19
640,2.0769965100e+00,1.6688991000e-02,7.5082110900e+00,1.4670810100e+01,3.5011321800e+00,1.7185719970e+00,1.2556511200e+01,39,19
768,2.0926878400e+00,2.4820687000e-02,9.8314281800e+00,6.7370503000e+01,3.6395013600e+00,1.9818025860e+00,6.5124912200e+01,37,19
896,2.7648481100e+00,1.4618539000e-02,1.1048141000e+01,9.0812721400e+01,3.9984162000e+00,2.5888323910e+00,8.7745634500e+01,41,19
1024,2.0710182400e+00,5.5474440000e-03,4.1303655000e+01,1.9131923500e+01,4.0783385600e+00,2.0956100850e+00,1.6915041630e+01,40,19
